Bedroom,Bathroom,Property Size,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,price,state,facility_count,price_per_sqft
3.0,2.0,1100,"Swimming Pool, Tennis Court, Minimart, Playground, Sauna, Gymnasium, Barbeque area, Parking, Security, Lift",Sri Putramas,Mayland,Freehold,"No. 1, Jalan Putramas 1, Off Jalan Kuching, Jalan Kuching, Kuala Lumpur",2004.0,25,1220,Condominium,2,Low,Non Bumi Lot,400000,Kuala Lumpur,10,363.6363636363636
1.0,1.0,737,"Parking, Minimart, Playground, Lift, Barbeque area, Gymnasium, Security, Swimming Pool, Multipurpose hall, Club house",Sri Acappella Serviced Apartments,Equipark Sdn. Bhd.,Leasehold,"Jalan Lompat Tinggi 13/33, Seksyen 13, Shah Alam, Selangor",1998.0,16,239,Service Residence,1,Medium,Bumi Lot,370000,Selangor,10,502.0352781546811
3.0,1.0,840,Parking,Mayang Apartment (Bayan Baru),,Leasehold,"Jalan Mayang Pasir,Bukit Gedung, Bayan Lepas, Penang",1996.0,11,,Apartment,,Medium,Non Bumi Lot,240000,Penang,1,285.7142857142857
3.0,2.0,650,"Security, Playground, Parking, Jogging Track",I-Park Apartment,Ideal Property Group,Freehold,"Jalan Rajawali Off Jalan Dato Ismail Hashim, Sungai Ara, Penang",2014.0,,,Apartment,1,Medium,Non Bumi Lot,215000,Penang,4,330.7692307692308
3.0,2.0,1130,"Security, Swimming Pool, Lift, Barbeque area, Parking, Playground, Gymnasium",Andari Townvilla,Dergahayu Sdn Bhd,Leasehold,"Jalan SH 2/1, Selayang Heights, Gombak, Selangor",2006.0,5,414,Apartment,1,Low,Bumi Lot,320000,Selangor,7,283.1858407079646
5.0,4.0,2650,"Swimming Pool, Security",Palm Gardens,,Freehold,"No. 15A, Jalan Mariamah, Johor Bahru, Johor",,5,,Condominium,,Medium,Non Bumi Lot,780000,Johor,2,294.33962264150944
3.0,2.0,1001,,Lily & Jasmine,,Leasehold,"Taman Tampoi Indah, Johor Bahru, Johor",,4,,Apartment,,Medium,Non Bumi Lot,210000,Johor,,209.7902097902098
4.0,2.0,1300,"Parking, Minimart, Swimming Pool, Sauna, Club house, Playground, Gymnasium, Barbeque area, Security, Jogging Track, Lift",Suriamas,HR GROUP,Leasehold,"Jalan PJS 10/11E, Bandar Sunway, Selangor",2004.0,15,675,Condominium,2,Low,Non Bumi Lot,498000,Selangor,11,383.0769230769231
3.0,2.0,700,"Playground, Security, Parking",Sri Impian Apartment,,Leasehold,"Lengkok Angsana,, Ayer Itam, Penang",2005.0,22,,Apartment,1,,Non Bumi Lot,250000,Penang,3,357.14285714285717
3.0,2.0,1017,"Parking, Security, Minimart, Swimming Pool, Lift",Puncak Baiduri Apartment,,Freehold,"Persiaran Baiduri, Taman Desa Baiduri, Cheras, Selangor",,9,,Apartment,1,Medium,Non Bumi Lot,325000,Selangor,5,319.5673549655851
3.0,2.0,1087,"Jogging Track, Sauna, Barbeque area, Multipurpose hall, Club house, Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Squash Court, Lift",Boulevard Condominium (BLVD),Reka Indah Development Sdn Bhd,Freehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",2011.0,38,420,Condominium,2,High,Non Bumi Lot,598000,Penang,14,550.1379944802208
3.0,2.0,800,"Parking, Security",Tanjung Court,,Leasehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",1994.0,6,672,Apartment,2,Medium,Non Bumi Lot,298000,Penang,2,372.5
3.0,2.0,800,"Security, Parking",Tanjung Court,,Leasehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",1994.0,6,672,Apartment,2,,Non Bumi Lot,298000,Penang,2,372.5
3.0,2.0,936,"Swimming Pool, Squash Court, Jogging Track, Security, Barbeque area, Multipurpose hall, Parking, Lift, Club house, Minimart, Playground, Gymnasium, Tennis Court, Sauna",Boulevard Condominium (BLVD),Reka Indah Development Sdn Bhd,Freehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",2011.0,38,420,Condominium,2,,Non Bumi Lot,498000,Penang,14,532.0512820512821
2.0,3.0,1365,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Jogging Track, Barbeque area",Jazz Residences,Sure Commerce Sdn Bhd,Freehold,"Jalan Seri Tanjong Pinang, Tanjong Tokong, Penang",,,174,Service Residence,1,High,Non Bumi Lot,988000,Penang,10,723.8095238095239
3.0,2.0,936,"Tennis Court, Jogging Track, Barbeque area, Sauna, Multipurpose hall, Minimart, Club house, Security, Lift, Gymnasium, Squash Court, Swimming Pool, Parking, Playground",Boulevard Condominium (BLVD),Reka Indah Development Sdn Bhd,Freehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",2011.0,38,420,Condominium,3,,Non Bumi Lot,498000,Penang,14,532.0512820512821
3.0,2.0,930,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",SkyMillion Residence @ Nosoob,Rich Millionway Sdn Bhd,Leasehold,"Jalan Joungkil Nosoob, Penampang, Sabah",2024.0,23,254,Condominium,1,High,Bumi Lot,508800,Sabah,7,547.0967741935484
3.0,2.0,1405,"Parking, Security, Lift, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Minimart",Villa Lagenda,Regal Form Sdn Bhd,Leasehold,"Jalan 4/2b, Taman Desa Bakti, Batu Caves, Selangor",2004.0,18,304,Condominium,1,Medium,Bumi Lot,395000,Selangor,8,281.1387900355872
3.0,2.0,1372,"Tennis Court, Jogging Track, Club house, Parking, Gymnasium, Sauna, Multipurpose hall, Security, Playground, Swimming Pool, Barbeque area",Hijauan Saujana,Esquire Corner Sdn Bhd,Freehold,"Subang (Saujana Resort), Seksyen U2, Shah Alam, Selangor",2015.0,14,539,Condominium,2,,Non Bumi Lot,680000,Selangor,11,495.6268221574344
4.0,2.0,1302,"Minimart, Swimming Pool, Parking, Security, Playground, Jogging Track, Sauna, Gymnasium, Squash Court",Straits Garden Residence @ Jelutong,Tambun Indah Land Berhad,Freehold,"Jalan Jelutong, Jelutong, Penang",2016.0,17,91,Condominium,3,,Non Bumi Lot,820000,Penang,9,629.800307219662
3.0,2.0,1023,"Gymnasium, Security, Swimming Pool, Jogging Track, Parking, Sauna, Playground, Barbeque area",The Era,JKG Land Berhad,Freehold,"Jalan Segambut, Segambut, Segambut, Kuala Lumpur",2021.0,63,956,Service Residence,,Medium,Non Bumi Lot,635000,Kuala Lumpur,8,620.7233626588466
1.0,1.0,497,"Jogging Track, Parking, Security, Minimart, Playground, Swimming Pool, Lift, Multipurpose hall, Barbeque area",Gaya Apartments,Sime Darby Property Berhad,Freehold,"Jalan Melawati 1, Taman Melawati, Kuala Lumpur",,12,240,Apartment,1,,Non Bumi Lot,285000,Kuala Lumpur,9,573.440643863179
3.0,2.0,874,,Sentul Utama Condominium,Melati Ehsan Group,Leasehold,"Jalan Dato Senu 26, Taman Sentul Utama, Sentul, Kuala Lumpur",2009.0,13,,Condominium,1,Low,Bumi Lot,354000,Kuala Lumpur,,405.0343249427918
3.0,2.0,1000,"Security, Parking",Nusa Perdana Service Apartment,,Freehold,"Jalan Nusa Perdana, Gelang Patah, Johor",,,,Apartment,,Medium,Non Bumi Lot,298000,Johor,2,298.0
3.0,2.0,1295,"Security, Barbeque area, Minimart, Jogging Track, Playground, Swimming Pool, Tennis Court, Gymnasium, Sauna",Royal Domain Sri Putramas 2,Mayland,Freehold,"Jalan Putramas 1 off Jalan Kuching, Jalan Kuching, Kuala Lumpur",2007.0,36,1022,Condominium,,Low,Non Bumi Lot,530000,Kuala Lumpur,9,409.26640926640925
3.0,2.0,936,"Parking, Playground, Gymnasium, Minimart, Swimming Pool, Barbeque area, Security, Tennis Court, Lift",Langat Jaya,,Freehold,"Kampung Melaka, Jalan Datuk Alias,, Cheras, Selangor",,23,,Condominium,1,Low,Bumi Lot,320000,Selangor,9,341.88034188034186
3.0,2.0,947,"Parking, Security, Lift, Playground",Pangsapuri Seri Mewah (Block C),,Freehold,"Taman Seri Mewah, Kajang, Bangi, Selangor",,8,,Apartment,1,Medium,Non Bumi Lot,250000,Selangor,4,263.99155227032736
3.0,2.0,938,"Minimart, Gymnasium, Tennis Court, Playground, Security, Sauna, Swimming Pool, Squash Court, Parking",Danau Idaman,Faber Union Bhd,Freehold,"Jalan 2/109F, Taman Desa, Kuala Lumpur",2000.0,22,659,Condominium,1,Low,Bumi Lot,380000,Kuala Lumpur,9,405.1172707889126
3.0,2.0,816,"Security, Lift, Playground",Taman Puncak Rasah,,Freehold,"Jalan RK 3/3, Rasah, Negeri Sembilan",,,,Apartment,1,Low,Malay Reserved,200000,Negeri Sembilan,3,245.09803921568627
2.0,2.0,430,"Security, Swimming Pool, Lift, Minimart, Playground",Suria Jaya,Ancubic Group,Freehold,"Jalan Padang Jawa, Seksyen 16, Shah Alam, Selangor",,,,Apartment,,High,Non Bumi Lot,225000,Selangor,5,523.2558139534884
3.0,2.0,657,"Playground, Gymnasium, Security, Multipurpose hall",,,Freehold,,,,,Service Residence,,,Non Bumi Lot,400000,,4,608.8280060882801
3.0,2.0,1100,"Security, Swimming Pool, Jogging Track, Multipurpose hall, Lift, Parking, Playground, Gymnasium, Sauna, Barbeque area, Club house",Sutera Pines,Smart Niche Sdn Bhd (Joint Venture between Rivertree Group and Imaxland Sdn Bhd),Freehold,"Jalan Palma Utama, Twin Palms, Bandar Sungai Long, Kajang, Selangor",2017.0,20,424,Condominium,2,Medium,Non Bumi Lot,480000,Selangor,11,436.3636363636364
3.0,2.0,650,"Lift, Parking, Playground",Desa Lembah Permai,,Leasehold,"Jalan Bukit Belacan, Ampang, Selangor",,,,Flat,,Medium,Non Bumi Lot,180000,Selangor,3,276.9230769230769
3.0,2.0,850,Security,Apartment Okid (Bukit Indah),,Leasehold,"Jalan Bukit Indah 3/4, Taman Bukit Indah, Ampang, Kuala Lumpur",,5,,Apartment,,Medium,Non Bumi Lot,220000,Kuala Lumpur,1,258.8235294117647
3.0,2.0,783,,Birchwood Court,,Leasehold,"Pinggiran Lembah Hijau 9, Bandar Tasik Puteri, Rawang, Selangor",,,,Apartment,,Medium,Bumi Lot,170000,Selangor,,217.11366538952745
3.0,2.0,936,"Swimming Pool, Squash Court, Jogging Track, Security, Barbeque area, Multipurpose hall, Parking, Lift, Club house, Minimart, Playground, Gymnasium, Tennis Court, Sauna",Boulevard Condominium (BLVD),Reka Indah Development Sdn Bhd,Freehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",2011.0,38,420,Condominium,2,,Non Bumi Lot,520000,Penang,14,555.5555555555555
3.0,2.0,1087,"Gymnasium, Jogging Track, Security, Swimming Pool, Squash Court, Sauna, Club house, Parking, Minimart, Playground, Lift, Tennis Court, Barbeque area, Multipurpose hall",Boulevard Condominium (BLVD),Reka Indah Development Sdn Bhd,Freehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",2011.0,38,420,Condominium,2,Medium,Non Bumi Lot,598000,Penang,14,550.1379944802208
3.0,2.0,1195,"Swimming Pool, Squash Court, Jogging Track, Security, Barbeque area, Multipurpose hall, Parking, Lift, Club house, Minimart, Playground, Gymnasium, Tennis Court, Sauna",Boulevard Condominium (BLVD),Reka Indah Development Sdn Bhd,Freehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",2011.0,38,420,Condominium,2,,Non Bumi Lot,700000,Penang,14,585.7740585774059
3.0,2.0,936,"Jogging Track, Sauna, Barbeque area, Multipurpose hall, Club house, Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Squash Court, Lift",Boulevard Condominium (BLVD),Reka Indah Development Sdn Bhd,Freehold,"Lebuhraya Thean Teik, Ayer Itam, Penang",2011.0,38,420,Condominium,2,Medium,Non Bumi Lot,530000,Penang,14,566.2393162393163
3.0,2.0,883,"Playground, Sauna, Barbeque area, Security, Gymnasium, Lift, Swimming Pool, Jogging Track, Multipurpose hall",LBS Skylake Residence,LBS Bina Group Berhad,Leasehold,"alan Putra Perdana 5A, Taman Putra Perdana, Puchong, Selangor",2021.0,33,746,Service Residence,2,Medium,Non Bumi Lot,490000,Selangor,9,554.9263873159683
3.0,2.0,1006,,APARTMENT PR1MA PRESINT 11 (Apartment PR1MA),,Freehold,"Jalan P11E/5, Presint 11, Putrajaya, Putrajaya",,,,Apartment,2,Medium,Non Bumi Lot,418000,Putrajaya,,415.506958250497
3.0,2.0,957,"Gymnasium, Parking, Playground, Security, Minimart, Swimming Pool",,,Leasehold,,,,,Condominium,1,Low,Bumi Lot,290000,,6,303.030303030303
3.0,2.0,1173,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",Casa Kayangan,Perbadanan Kemajuan Negeri Perak (PKNP),Freehold,"Persiaran Meru Raya 2, Ipoh, Perak",,,,Apartment,1,High,Non Bumi Lot,365000,Perak,9,311.1679454390452
3.0,2.0,964,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track",The Cove Hillside Residence,,Leasehold,"Laluan Ipoh Permai, Ipoh, Perak",,,,Condominium,1,Medium,Non Bumi Lot,380000,Perak,10,394.1908713692946
3.0,2.0,926,"Parking, Swimming Pool, Gymnasium, Security, Jogging Track, Sauna, Playground, Tennis Court, Lift",Magna Ville Condominium,Magna Park Sdn Bhd,Leasehold,"Off Lebuhraya Selayang - Kepong, Taman Selayang Jaya, Selayang, Selangor",2010.0,22,1074,Condominium,1,Medium,Bumi Lot,320000,Selangor,9,345.5723542116631
3.0,2.0,850,"Minimart, Security, Playground, Jogging Track",Larkin Idaman Apartment,,Leasehold,"Off Jalan Dato Jaafar, Larkin Idaman, Johor Bahru, Johor",2009.0,13,,Apartment,,Low,Non Bumi Lot,255000,Johor,4,300.0
3.0,3.0,870,"Playground, Minimart, Swimming Pool, Gymnasium, Security, Lift, Sauna, Parking",Ashton Tower,SCP Group,Leasehold,"Off Kolombong, Kota Kinabalu, Sabah",2016.0,29,391,Service Residence,,Medium,Non Bumi Lot,465000,Sabah,8,534.4827586206897
1.0,1.0,849,"Parking, Squash Court, Barbeque area, Security, Swimming Pool, Gymnasium",,,Leasehold,,,,,Condominium,,Medium,Non Bumi Lot,380000,,6,447.585394581861
4.0,2.0,925,,Taman Koperasi Maju Jaya,,Freehold,"Off Persiaran Minang 4, Cheras, Selangor",,,,Apartment,1,Low,Bumi Lot,220000,Selangor,,237.83783783783784
3.0,2.0,1052,,,,Freehold,,,,,Apartment,2,Medium,Non Bumi Lot,395000,,,375.47528517110266
1.0,1.0,420,"Security, Parking, Barbeque area, Swimming Pool, Gymnasium, Squash Court",,,Freehold,,,,,Condominium,,High,Non Bumi Lot,299000,,6,711.9047619047619
3.0,2.0,850,,,,Freehold,,,,,Apartment,1,Medium,Non Bumi Lot,289000,,,340.0
3.0,2.0,910,"Security, Swimming Pool, Minimart, Playground, Tennis Court, Barbeque area, Gymnasium, Jogging Track",,,Leasehold,,,,,Condominium,,Medium,Non Bumi Lot,360000,,8,395.6043956043956
3.0,2.0,746,"Jogging Track, Minimart, Parking, Lift, Security",Jelutong Apartment @ Selayang Heights,,Leasehold,"Off Jalan Ipoh, Selayang Heights, Gombak, Selangor",,,,Apartment,1,Low,Bumi Lot,220000,Selangor,5,294.9061662198391
3.0,2.0,811,"Swimming Pool, Multipurpose hall, Tennis Court, Playground, Minimart",,,Leasehold,,,,,Apartment,1,Medium,Non Bumi Lot,255000,,5,314.42663378545006
3.0,2.0,850,"Parking, Security, Playground",,,Leasehold,,,,,Apartment,1,Medium,Non Bumi Lot,285000,,3,335.29411764705884
3.0,2.0,1000,"Playground, Swimming Pool, Lift, Parking, Gymnasium, Security",,,Freehold,,,,,Condominium,2,Medium,Non Bumi Lot,308000,,6,308.0
3.0,2.0,1000,"Gymnasium, Squash Court, Security, Playground, Swimming Pool, Sauna",,,Freehold,,,,,Condominium,1,,Non Bumi Lot,299000,,6,299.0
3.0,2.0,900,"Security, Minimart, Parking",,,Freehold,,,,,Apartment,1,Medium,Non Bumi Lot,228000,,3,253.33333333333334
3.0,2.0,1052,"Parking, Security",,,Freehold,,,,,Condominium,,,Non Bumi Lot,383950,,2,364.97148288973386
3.0,2.0,915,"Playground, Parking",Sri Ehsan Apartment,,Freehold,"Jalan Sri Ehsan 9, Taman Sri Ehsan, Kepong, Kuala Lumpur",,,,Apartment,1,Low,Non Bumi Lot,320000,Kuala Lumpur,2,349.72677595628414
2.0,1.0,600,,Flat Taman Melati,,Freehold,"Off Jalan Taman Melati, Taman Melati, Setapak, Kuala Lumpur",,5,,Flat,,Medium,Bumi Lot,235000,Kuala Lumpur,,391.6666666666667
3.0,2.0,870,"Security, Playground, Lift, Minimart, Squash Court, Parking, Swimming Pool, Gymnasium",Lakeview Apartments,,Leasehold,"Jalan Sungai Tua, Taman Jasa Pewira, Gombak, Selangor",,18,,Apartment,1,High,Bumi Lot,260000,Selangor,8,298.85057471264366
3.0,2.0,950,"Parking, Security, Lift, Swimming Pool, Multipurpose hall, Minimart",D'Cerrum Apartment,SP Setia Berhad,Freehold,"Jalan Ecohill 1/2, Semenyih, Selangor",2019.0,,635,Apartment,,Medium,Bumi Lot,299000,Selangor,6,314.7368421052632
3.0,2.0,850,,Sri Intan (Bandar Seri Alam),S P Setia Berhad,Freehold,"Jalan Tasek, Bandar Seri Alam, Pasir Gudang, Johor",2014.0,4,348,Flat,1,Medium,Non Bumi Lot,155000,Johor,,182.35294117647058
3.0,2.0,800,"Playground, Swimming Pool, Gymnasium, Security, Minimart, Sauna, Parking",Karisma @ Eco Majestic,Eco World Development Group Berhad,Freehold,"Pangsapuri Karisma, Jalan Eco Majestic 3A/5, Semenyih, Selangor",2014.0,4,75,Apartment,,High,Non Bumi Lot,245000,Selangor,7,306.25
3.0,2.0,918,"Sauna, Parking, Playground, Barbeque area, Club house, Gymnasium, Security, Minimart, Swimming Pool",Danau Impian,Faber Development Holdings,Leasehold,"Taman Danau Desa, Taman Desa, Kuala Lumpur",1997.0,15,450,Condominium,1,Medium,Non Bumi Lot,450000,Kuala Lumpur,9,490.19607843137254
3.0,2.0,860,,Lili Apartment,,Freehold,"Jalan Metafasa U16/5, Seksyen 16, Shah Alam, Selangor",,,,Apartment,,High,Non Bumi Lot,290000,Selangor,,337.2093023255814
3.0,2.0,980,"Playground, Barbeque area, Parking, Security, Minimart, Jogging Track",Pangsapuri Mayang (Bandar Kinrara),,Leasehold,"Jalan Bandar Kinrara 3/1, Bandar Kinrara Section 3, Puchong, Selangor",,5,,Apartment,1,Low,Non Bumi Lot,315000,Selangor,6,321.42857142857144
3.0,2.0,899,"Jogging Track, Parking, Security, Playground",D'Aman Residence,,Freehold,"Persiaran Meru Raya 3, Meru, Ipoh, Ipoh, Perak",,,,Apartment,1,Medium,Bumi Lot,186000,Perak,4,206.89655172413794
3.0,2.0,1200,"Parking, Security, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track",Villa OUG,Kumpulan Hartanah,Freehold,"Jalan Awan Dandan, Old Klang Road, Kuala Lumpur",,6,116,Condominium,1,Low,Non Bumi Lot,555000,Kuala Lumpur,7,462.5
4.0,2.0,1335,"Swimming Pool, Gymnasium, Playground, Minimart, Multipurpose hall, Security, Jogging Track, Lift, Parking",Platinum Hill PV 5,Platinum Victory Development Sdn Bhd,Freehold,"Jalan Melati Utama 3, Taman Melati Utama, Setapak, Kuala Lumpur",2006.0,17,950,Condominium,1,High,Non Bumi Lot,395000,Kuala Lumpur,9,295.8801498127341
3.0,2.0,778,"Security, Lift, Playground",Pangsapuri Subang Suria,Agmal Development Sdn Bhd,Leasehold,"Jalan Bintang U5/33, Shah Alam, Selangor",2005.0,7,1274,Apartment,,Low,Bumi Lot,275000,Selangor,3,353.47043701799487
4.0,2.0,1350,"Parking, Security, Swimming Pool, Playground",Delta Heights,Golden Addition Sdn. Bhd. (Delta Group),Leasehold,"Off Jalan Duta, Kota Kinabalu, Sabah",2015.0,4,96,Apartment,1,High,Non Bumi Lot,415000,Sabah,4,307.4074074074074
4.0,4.0,1824,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",The Colonnades Condominium,Tokojaya,Leasehold,"Jalan Kebajikan, Kota Kinabalu, Sabah",,12,168,Condominium,1,Medium,Non Bumi Lot,650000,Sabah,6,356.359649122807
3.0,2.0,650,"Parking, Security, Playground, Jogging Track",Bandar Baru Permas Jaya,,Freehold,"Jln Permas 7, Bandar Baru Permas Jaya, Permas Jaya, Johor",,,,Flat,1,Medium,Non Bumi Lot,135000,Johor,4,207.69230769230768
3.0,2.0,877,"Parking, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Security, Gymnasium",Sentul Utama Condominium,Melati Ehsan Group,Leasehold,"Jalan Dato Senu 26, Taman Sentul Utama, Sentul, Kuala Lumpur",2009.0,13,,Condominium,1,Low,Bumi Lot,310000,Kuala Lumpur,9,353.4777651083238
3.0,3.0,1484,"Security, Gymnasium, Lift, Swimming Pool, Playground, Parking, Barbeque area, Multipurpose hall",Jade Residence,,Leasehold,"Jalan Bantayan, Kota Kinabalu, Sabah",2014.0,,135,Condominium,2,Medium,Non Bumi Lot,780000,Sabah,8,525.6064690026955
3.0,2.0,872,"Barbeque area, Parking, Playground, Security",Goodyear Court 1,Goodyear Management,Freehold,"Jalan USJ 6/1, Subang Jaya, Selangor",,5,,Apartment,1,Low,Non Bumi Lot,350000,Selangor,4,401.3761467889908
3.0,2.0,953,"Security, Minimart, Swimming Pool, Sauna, Parking, Lift, Playground",Vistana Mahkota,,Freehold,"Jalan Pahlawan 42/3, Bandar Mahkota Cheras, Selangor",,,,Apartment,1,Medium,Non Bumi Lot,280000,Selangor,7,293.8090241343127
3.0,2.0,850,"Parking, Security, Swimming Pool, Playground, Jogging Track",Sri Intan (Bandar Seri Alam),S P Setia Berhad,Freehold,"Jalan Tasek, Bandar Seri Alam, Pasir Gudang, Johor",2014.0,4,348,Flat,1,Medium,Non Bumi Lot,180000,Johor,5,211.76470588235293
4.0,3.0,1350,"Barbeque area, Multipurpose hall",Residensi Pauh Armani,Golden Village Properties Sdn. Bhd.,Freehold,"Permatang Pauh, Seberang Jaya, Penang",,13,198,Condominium,1,Low,Non Bumi Lot,429000,Penang,2,317.77777777777777
2.0,1.0,657,"Security, Parking, Playground",Desa Tun Razak Apartment,CRSC Group,Leasehold,"Jalan 10/118b Desa Tun Razak,, Cheras, Kuala Lumpur",1996.0,15,438,Apartment,1,Medium,Bumi Lot,199000,Kuala Lumpur,3,302.8919330289193
3.0,2.0,1185,,Embun Residence,,Freehold,"Jalan Puncak Saujana 4/1, Kajang, Selangor",,,,Apartment,2,Low,Bumi Lot,300000,Selangor,,253.16455696202533
3.0,2.0,850,"Parking, Security, Playground, Swimming Pool, Jogging Track",Sri Intan (Bandar Seri Alam),S P Setia Berhad,Freehold,"Jalan Tasek, Bandar Seri Alam, Pasir Gudang, Johor",2014.0,4,348,Flat,1,Low,Non Bumi Lot,198000,Johor,5,232.94117647058823
3.0,2.0,1090,"Playground, Multipurpose hall, Swimming Pool, Parking, Security, Gymnasium, Lift, Minimart",Alam Damai Condominium,Wah Mie Group,Leasehold,"Off Jalan Tuaran, Kota Kinabalu, Sabah",,16,,Condominium,1,High,Non Bumi Lot,600000,Sabah,8,550.4587155963303
3.0,2.0,689,,Desa Delima,,Freehold,"Lorong Semarak Api Dua, Bandar Baru Farlim, Ayer Itam, Penang",1992.0,17,3,Apartment,,Low,Non Bumi Lot,174000,Penang,,252.5399129172714
3.0,1.0,657,"Playground, Parking, Jogging Track, Minimart",Pangsapuri Aman,,Leasehold,"Jalan Prima 6/1, Puchong, Selangor",,,,Apartment,,Low,Non Bumi Lot,180000,Selangor,4,273.972602739726
3.0,3.0,1765,"Security, Playground, Swimming Pool, Multipurpose hall, Parking, Gymnasium, Jogging Track",SqWhere,Selangor Dredging Berhad,Leasehold,"Jalan Welfare, Kampung Baru Sungai Buloh, Sungai Buloh, Selangor",2020.0,31,660,Service Residence,,Medium,Non Bumi Lot,554000,Selangor,7,313.8810198300283
3.0,2.0,798,"Security, Parking, Playground, Lift, Jogging Track, Multipurpose hall, Minimart",Bukit Permata Apartment,,Freehold,"alan Telok Muroh, Kampung Tebing Rabak, Lumut, Perak",,,,Apartment,1,Low,Bumi Lot,155000,Perak,7,194.2355889724311
2.0,3.0,750,"Security, Minimart, Sauna, Parking, Lift, Jogging Track, Playground",Pangsapuri Gapura Bayu,,Freehold,"No.1, Jalan Puncak Utama 2/1, Kajang, Selangor",,18,,Apartment,1,Medium,Non Bumi Lot,195000,Selangor,7,260.0
3.0,2.0,774,"Jogging Track, Minimart, Swimming Pool, Tennis Court, Parking, Playground, Squash Court, Security, Gymnasium",Shamelin Star,Landmark Zone Sdn. Bhd.,Leasehold,"Jalan 4/91, Taman Shamelin Perkasa, Cheras, Kuala Lumpur",2016.0,36,630,Service Residence,2,Medium,Non Bumi Lot,490000,Kuala Lumpur,9,633.0749354005168
3.0,2.0,884,"Parking, Playground, Security",Mahasa Villa,,Freehold,"Jalan Mahasa, Kampung Padang Balang, Sentul ,Kuala Lumpur,, Sentul, Kuala Lumpur",,,,Apartment,1,Medium,Bumi Lot,335000,Kuala Lumpur,3,378.95927601809956
3.0,2.0,815,,Taman Tun Teja,,Leasehold,"Jalan Bayu, Taman Tun Teja, Rawang, Selangor",,,,Apartment,,Medium,Non Bumi Lot,255000,Selangor,,312.8834355828221
3.0,2.0,1300,"Parking, Security, Swimming Pool",Pearl Tower,,Leasehold,"Off Jalan Lintas, Taman BDC, Kota Kinabalu, Kota Kinabalu, Sabah",,,,Condominium,1,Medium,Non Bumi Lot,578000,Sabah,3,444.61538461538464
4.0,4.0,2236,"Jogging Track, Parking, Gymnasium, Swimming Pool, Security",Puteri Damai,,Leasehold,"Sabah, Kota Kinabalu, Kota Kinabalu, Sabah",2007.0,,73,Condominium,1,Medium,Non Bumi Lot,1420000,Sabah,5,635.0626118067978
3.0,2.0,1044,"Security, Parking, Minimart, Swimming Pool, Playground, Lift",Pangsapuri Kayangan,Suncity Bhd,Leasehold,"No. 33, Jalan PJS 10/24,, Bandar Sunway, Selangor",2004.0,5,200,Apartment,1,Medium,Non Bumi Lot,325000,Selangor,6,311.30268199233717
1.0,1.0,450,"Swimming Pool, Barbeque area, Sauna, Multipurpose hall, Security, Playground, Gymnasium, Parking, Lift, Minimart, Club house, Tennis Court, Jogging Track, Squash Court",CyberSquare SOHO,Binastra Land Sdn. Bhd.,Freehold,"Jalan Teknokrat 4, Cyber 5, Cyberjaya, Selangor",2017.0,38,1424,Service Residence,1,Medium,Non Bumi Lot,200000,Selangor,14,444.44444444444446
3.0,2.0,1100,"Playground, Jogging Track, Security, Minimart, Gymnasium, Squash Court, Parking, Swimming Pool, Sauna, Lift, Barbeque area, Multipurpose hall, Club house, Tennis Court",M Condominium @ Larkin,MB Group,Leasehold,"Off Susur Larkin Perdana 2, Larkin,, Johor Bahru, Johor",2016.0,,944,Condominium,1,Medium,Non Bumi Lot,460000,Johor,14,418.1818181818182
4.0,3.0,1307,"Playground, Barbeque area, Parking, Swimming Pool, Gymnasium, Security, Jogging Track",Surin,Symphony Life Berhad,Freehold,"Solok Tanjung Bungah, Tanjung Bungah, Penang",,28,390,Condominium,2,Medium,Non Bumi Lot,710000,Penang,7,543.2287681713849
