Bedroom,Bathroom,Property Size,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,price,state,facility_count,price_per_sqft
3.0,2.0,850,"Parking, Security, Playground",Alam Budiman (Sri Budiman),SHL Consolidated Berhad,Freehold,"Jalan Pulau Lumut U10/76f, Setia Alam, Selangor",,,536,Apartment,2,Low,Non Bumi Lot,300000,Selangor,3,352.94117647058823
3.0,2.0,800,,,,Leasehold,,,,,Apartment,2,Medium,Non Bumi Lot,438000,,,547.5
3.0,2.0,1432,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Club house, Jogging Track",Tribeca,,Leasehold,"Lorong Urat Mata 4, Jalan Urat Mata, Kuching, Sarawak",,,684,Condominium,2,High,Non Bumi Lot,700000,Sarawak,10,488.8268156424581
2.0,1.0,527,"Lift, Playground",Perumahan Awam Sri Perak,,Leasehold,"Jalan 1/48A, Sentul, Kuala Lumpur",,,,Flat,,Low,Bumi Lot,195000,Kuala Lumpur,2,370.0189753320683
3.0,2.0,1108,"Playground, Jogging Track, Swimming Pool, Security, Lift, Parking, Gymnasium, Minimart, Club house",SkyVilla Condominium (MJC),Mudajaya Group,Leasehold,"Bandar Baru Batu Kawa (MJC), Kuching, Sarawak",,,,Condominium,1,High,Non Bumi Lot,493000,Sarawak,9,444.94584837545125
3.0,2.0,860,"Swimming Pool, Parking, Security, Playground",Pangsapuri Resak,,Leasehold,"U10/14, Persiaran Pulau Carey, Seksyen U10, Shah Alam, Selangor",,,,Apartment,,,Bumi Lot,195000,Selangor,4,226.74418604651163
3.0,2.0,1011,"Jogging Track, Lift, Barbeque area, Parking, Swimming Pool, Club house, Playground, Tennis Court, Gymnasium, Multipurpose hall, Security, Sauna",Horizon Residence Luxury Apartment,Mahabuilders Berhad,Freehold,"Lebuhraya Bukit Indah, Bukit Indah, Johor Bahru, Johor",2014.0,26,440,Apartment,,,Non Bumi Lot,420000,Johor,12,415.43026706231456
3.0,2.0,925,"Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking, Minimart, Tennis Court, Club house",Cyberia SmartHomes,Paramoden (MK Land),Freehold,"Persiaran Multimedia, Cyberjaya, Selangor",2002.0,,1188,Condominium,1,Medium,Non Bumi Lot,255000,Selangor,9,275.6756756756757
3.0,2.0,753,"Parking, Playground, Barbeque area, Minimart, Jogging Track",Pangsapuri Angsana,,Freehold,"Jalan Penggawa 2/2, Cheras, Selangor",,,,Apartment,,High,Bumi Lot,240000,Selangor,5,318.7250996015936
3.0,2.0,1093,"Security, Swimming Pool, Barbeque area, Playground, Sauna, Parking, Gymnasium, Tennis Court",East Lake Residence,Hongkong Land,Leasehold,"Persiaran Serdang Perdana, Taman Serdang Perdana, Seksyen 3, Seri Kembangan, Selangor",,,634,Condominium,,Medium,Bumi Lot,350000,Selangor,8,320.2195791399817
3.0,3.0,1400,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Raffel Tower,BSG Property,Freehold,"1 Off Jalan Bukit Gambir, Bukit Gambir, Gelugor, Penang",2015.0,29,260,Condominium,2,Medium,Non Bumi Lot,978000,Penang,14,698.5714285714286
3.0,2.0,800,"Swimming Pool, Security, Parking, Minimart, Playground, Sauna, Gymnasium, Lift",Karisma @ Eco Majestic,Eco World Development Group Berhad,Freehold,"Pangsapuri Karisma, Jalan Eco Majestic 3A/5, Semenyih, Selangor",2014.0,4,75,Apartment,2,Medium,Non Bumi Lot,260000,Selangor,8,325.0
3.0,2.0,953,"Minimart, Barbeque area, Playground, Jogging Track, Security",Melana Apartment,,Freehold,"Jalan Pendidikan 1, Skudai, Johor",,4,,Apartment,,Medium,Non Bumi Lot,263000,Johor,5,275.97061909758656
3.0,2.0,750,Parking,Taman Pulai Utama @ Shop Apartment,,Freehold,"65-1-2 jln pulai 44 Taman pulai utama 81300 Skudai Johor, Skudai, Johor",,,,Apartment,,Low,Non Bumi Lot,168000,Johor,1,224.0
3.0,2.0,1152,"Security, Multipurpose hall, Lift, Barbeque area, Playground, Swimming Pool, Sauna, Parking, Gymnasium, Jogging Track",Flexis @ One South,Hua Yang Berhad,Leasehold,"Persiaran Serdang Perdana, Seri Kembangan, Selangor",2015.0,21,424,Others,,Low,Non Bumi Lot,530000,Selangor,10,460.06944444444446
3.0,2.0,1334,"Jogging Track, Multipurpose hall, Swimming Pool, Tennis Court, Parking, Gymnasium, Security, Playground, Barbeque area, Lift, Minimart, Club house",Sky Condominium @ Bandar Puchong Jaya,IOI Properties Group,Freehold,"Persiaran Puchong Jaya Selatan, Bandar Puchong Jaya, Puchong, Selangor",2019.0,30,1039,Condominium,2,Medium,Non Bumi Lot,950000,Selangor,12,712.143928035982
1.0,1.0,705,"Security, Swimming Pool, Barbeque area, Playground, Gymnasium, Jogging Track, Sauna, Multipurpose hall, Lift, Parking, Minimart",The Elements,Elite Forward Sdn Bhd (L&G / Mayland),Freehold,"Jalan Ampang Ulu, Ampang, Ampang, Kuala Lumpur",2015.0,41,1040,Service Residence,1,,Non Bumi Lot,375000,Kuala Lumpur,11,531.9148936170212
3.0,2.0,689,"Security, Lift, Playground, Jogging Track",Sun Moon City,,Freehold,"Tingkat Paya Terubong 4, Ayer Itam, Penang",,,,Apartment,,Medium,Non Bumi Lot,200000,Penang,4,290.2757619738752
3.0,2.0,1700,,Village Grove Condominium,,Leasehold,"Taman BDC, Kuching, Sarawak",,,,Condominium,1,High,Non Bumi Lot,580000,Sarawak,,341.1764705882353
3.0,2.0,958,"Playground, Security, Minimart, Swimming Pool, Barbeque area, Parking",Persiaran Tanjung Apartment,,Leasehold,"Jalan Persiaran Tanjung, Tampoi, Johor",,17,,Apartment,1,High,Bumi Lot,228000,Johor,6,237.99582463465552
3.0,2.0,965,"Parking, Gymnasium, Swimming Pool, Playground",228 Selayang Condominium,Mahumas Sdn Bhd,Leasehold,"Jalan Besar Selayang Baru, Selayang Baru, Selayang, Selangor",2015.0,16,228,Condominium,,,Bumi Lot,368000,Selangor,4,381.34715025906735
3.0,2.0,1120,"Parking, Security, Lift, Swimming Pool, Gymnasium",Yarra Park,,Leasehold,"Lorong Dogan 6, Kuching, Sarawak",,,,Apartment,1,Medium,Non Bumi Lot,530000,Sarawak,5,473.2142857142857
4.0,3.0,1654,"Parking, Security, Playground, Swimming Pool, Lift, Barbeque area, Sauna, Gymnasium, Jogging Track, Minimart, Multipurpose hall",Puteri Palma Condominium,IOI Properties Group,Freehold,"SKVE, IOI Resort, Putrajaya, Putrajaya",1998.0,15,198,Condominium,2,Medium,Non Bumi Lot,670000,Putrajaya,11,405.07859733978233
3.0,2.0,1000,"Parking, Jogging Track, Security, Barbeque area, Minimart, Playground, Lift",Sri Lavender Apartment,TLS Group,Freehold,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor",2007.0,13,445,Apartment,,Low,Non Bumi Lot,295000,Selangor,7,295.0
3.0,2.0,700,"Swimming Pool, Tennis Court, Security, Parking, Playground, Lift",Azuria,,Freehold,"No. 18, Jalan Lembah Permai, Tanjong Bungah,, Tanjung Bungah, Penang",1999.0,16,476,Condominium,1,Medium,Non Bumi Lot,320000,Penang,6,457.14285714285717
3.0,2.0,1400,"Parking, Playground, Jogging Track",Lestari Perdana Apartment,,Leasehold,"Jalan LP 7/2, Lestari Perdana, Seri Kembangan, Selangor",,,,Others,2,,Non Bumi Lot,410000,Selangor,3,292.85714285714283
3.0,2.0,650,,Palma Apartment (Bandar Country Homes),,Freehold,"Off Jalan Batu Arang, Bandar Country Homes, Rawang, Selangor",,,,Apartment,,Low,Non Bumi Lot,100000,Selangor,,153.84615384615384
2.0,1.0,560,"Lift, Playground, Parking",Sri Pangkor (Sentul),,Leasehold,"Jalan Sentul, Sentul, Kuala Lumpur",,,,Flat,3,High,Bumi Lot,148000,Kuala Lumpur,3,264.2857142857143
3.0,2.0,900,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Damansara PJ New Condo,,Leasehold,"SS2, Petaling Jaya, Selangor, SS2",,,,Service Residence,2,,Non Bumi Lot,380500,SS2,14,422.77777777777777
